"","Code","Texte","Regroupement"
"1","AHQP001","Électromyographie par électrode de surface, sans enregistrement vidéo","ATM"
"2","AHQP002","Électromyographie par électrode de surface, avec enregistrement vidéo","ATM"
"3","AHQB027","Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille","ATM"
"4","AHQB025","Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille","ATM"
"5","AHQB024","Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille","ATM"
"6","AHQB026","Électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille","ATM"
"7","AHQB013","Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille","ATM"
"8","AHQB032","Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs","ATM"
"9","AHQB033","Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus","ATM"
"10","AHQB015","Électromyographie de fibre unique, par électrode aiguille","ATM"
"11","AHQB006","Macroélectromyographie, par électrode aiguille","ATM"
"12","AHQB001","Électromyographie, au lit du malade","ATM"
"13","AHQP003","Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale","ATM"
"14","AHQP008","Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs","ATM"
"15","AHQP010","Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, sans étude de la conduction proximale","ATM"
"16","AHQP009","Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, avec étude de la conduction proximale sur au moins 4 nerfs","ATM"
"17","AHQP011","Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs","ATM"
"18","AHQP012","Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus","ATM"
"19","AHQP013","Mesure des vitesses de conduction sensitive du nerf dorsal du pénis","ATM"
"20","ADQP014","Mesure du réflexe trigéminopalpébral [réflexe de clignement] et/ou du réflexe massétérin","ATM"
"21","AHQB019","Mesure des latences des réflexes sacraux","ATM"
"22","AHQD003","Mesure des latences distales du nerf pudendal [nerf honteux], par stimulation intrarectale","ATM"
"23","AHRP001","Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire","ATM"
