CIM_COD;CIM_LIB;ALD_030_COD;CAT_CIM_COD;VER_CPT_COD;VER_CPT_DTE;CAT_TUM_COD
C51;Tumeur maligne de la vulve;30;C51;V8.0;02JUL2017:00:00:00;99.0
C510;Tumeur maligne de la grande lèvre;30;C51;V8.0;02JUL2017:00:00:00;99.0
C511;Tumeur maligne de la petite lèvre;30;C51;V8.0;02JUL2017:00:00:00;99.0
C512;Tumeur maligne du clitoris;30;C51;V8.0;02JUL2017:00:00:00;99.0
C518;Tumeur maligne à localisations contiguës de la vulve;30;C51;V8.0;02JUL2017:00:00:00;99.0
C519;Tumeur maligne de la vulve, sans précision;30;C51;V8.0;02JUL2017:00:00:00;99.0
C52;Tumeur maligne du vagin;30;C52;V8.0;02JUL2017:00:00:00;99.0
C53;Tumeur maligne du col de l'utérus;30;C53;V8.0;02JUL2017:00:00:00;11.0
C530;Tumeur maligne de l'endocol;30;C53;V8.0;02JUL2017:00:00:00;11.0
C531;Tumeur maligne de l'exocol;30;C53;V8.0;02JUL2017:00:00:00;11.0
C538;Tumeur maligne à localisations contiguës du col de l'utérus;30;C53;V8.0;02JUL2017:00:00:00;11.0
C539;Tumeur maligne du col de l'utérus, sans précision;30;C53;V8.0;02JUL2017:00:00:00;11.0
C54;Tumeur maligne du corps de l'utérus;30;C54;V8.0;02JUL2017:00:00:00;12.0
C540;Tumeur maligne de l'isthme de l'utérus;30;C54;V8.0;02JUL2017:00:00:00;12.0
C541;Tumeur maligne de l'endomètre;30;C54;V8.0;02JUL2017:00:00:00;12.0
C542;Tumeur maligne du myomètre;30;C54;V8.0;02JUL2017:00:00:00;12.0
C543;Tumeur maligne du fond de l'utérus;30;C54;V8.0;02JUL2017:00:00:00;12.0
C548;Tumeur maligne à localisations contiguës du corps de l'utérus;30;C54;V8.0;02JUL2017:00:00:00;12.0
C549;Tumeur maligne du corps de l'utérus, sans précision;30;C54;V8.0;02JUL2017:00:00:00;12.0
C55;Tumeur maligne de l'utérus, partie non précisée;30;C55;V8.0;02JUL2017:00:00:00;12.0
C56;Tumeur maligne de l'ovaire;30;C56;V8.0;02JUL2017:00:00:00;13.0
C57;Tumeur maligne des organes génitaux de la femme, autres et non précisés;30;C57;V8.0;02JUL2017:00:00:00;99.0
C570;Tumeur maligne d'une trompe de Fallope;30;C57;V8.0;02JUL2017:00:00:00;99.0
C571;Tumeur maligne d'un ligament large;30;C57;V8.0;02JUL2017:00:00:00;99.0
C572;Tumeur maligne d'un ligament rond;30;C57;V8.0;02JUL2017:00:00:00;99.0
C573;Tumeur maligne d'un paramètre;30;C57;V8.0;02JUL2017:00:00:00;99.0
C574;Tumeur maligne des annexes de l'utérus, sans précision;30;C57;V8.0;02JUL2017:00:00:00;99.0
C577;Tumeur maligne d'autres organes génitaux de la femme précisés;30;C57;V8.0;02JUL2017:00:00:00;99.0
C578;Tumeur maligne à localisations contiguës des organes génitaux de la femme;30;C57;V8.0;02JUL2017:00:00:00;99.0
C579;Tumeur maligne d'un organe génital de la femme, sans précision;30;C57;V8.0;02JUL2017:00:00:00;99.0
C58;Tumeur maligne du placenta;30;C58;V8.0;02JUL2017:00:00:00;99.0
C60;Tumeur maligne de la verge;30;C60;V8.0;02JUL2017:00:00:00;99.0
C600;Tumeur maligne du prépuce;30;C60;V8.0;02JUL2017:00:00:00;99.0
C601;Tumeur maligne du gland;30;C60;V8.0;02JUL2017:00:00:00;99.0
C602;Tumeur maligne du corps de la verge;30;C60;V8.0;02JUL2017:00:00:00;99.0
C608;Tumeur maligne à localisations contiguës de la verge;30;C60;V8.0;02JUL2017:00:00:00;99.0
C609;Tumeur maligne de la verge, sans précision;30;C60;V8.0;02JUL2017:00:00:00;99.0
C61;Tumeur maligne de la prostate;30;C61;V8.0;02JUL2017:00:00:00;14.0
C62;Tumeur maligne du testicule;30;C62;V8.0;02JUL2017:00:00:00;15.0
C620;Tumeur maligne du testicule ectopique;30;C62;V8.0;02JUL2017:00:00:00;15.0
C621;Tumeur maligne du testicule descendu;30;C62;V8.0;02JUL2017:00:00:00;15.0
C629;Tumeur maligne d'un testicule, sans précision;30;C62;V8.0;02JUL2017:00:00:00;15.0
C63;Tumeur maligne des organes génitaux de l'homme, autres et non précisés;30;C63;V8.0;02JUL2017:00:00:00;99.0
C630;Tumeur maligne de l'épididyme;30;C63;V8.0;02JUL2017:00:00:00;99.0
